FechaObservacion,Departamento,ValorObservado
2005-04-03,LA GUAJIRA,0.0
2005-04-04,ANTIOQUIA,7.5
2005-04-04,LA GUAJIRA,0.0
2005-04-05,ANTIOQUIA,1.3
2005-04-05,LA GUAJIRA,0.05
2005-04-06,ANTIOQUIA,0.0
2005-04-06,LA GUAJIRA,0.0
2005-04-07,ANTIOQUIA,0.0
2005-04-07,LA GUAJIRA,0.0
2005-04-08,ANTIOQUIA,0.0
2005-04-09,ANTIOQUIA,0.0
2005-04-10,ANTIOQUIA,8.35
2005-04-11,ANTIOQUIA,12.1
2005-04-12,ANTIOQUIA,2.9
2005-04-13,ANTIOQUIA,0.0
2005-04-14,ANTIOQUIA,1.9000000000000004
2005-04-15,ANTIOQUIA,0.0
2005-04-16,ANTIOQUIA,4.6000000000000005
2005-04-17,ANTIOQUIA,3.4
2005-04-17,LA GUAJIRA,5.9
2005-04-18,ANTIOQUIA,0.1
2005-04-18,LA GUAJIRA,0.0
2005-04-19,ANTIOQUIA,0.7
2005-04-19,LA GUAJIRA,0.0
2005-04-19,MAGDALENA,0.0
2005-04-20,ANTIOQUIA,0.0
2005-04-20,LA GUAJIRA,0.0
2005-04-20,MAGDALENA,1.7000000000000002
2005-04-21,ANTIOQUIA,0.05
2005-04-21,LA GUAJIRA,0.1
2005-04-21,MAGDALENA,22.60000000000001
2005-04-22,ANTIOQUIA,1.1
2005-04-22,LA GUAJIRA,0.7999999999999999
2005-04-22,MAGDALENA,11.2
2005-04-23,ANTIOQUIA,0.0
2005-04-23,LA GUAJIRA,3.5999999999999996
2005-04-23,MAGDALENA,0.1
2005-04-24,ANTIOQUIA,0.0
2005-04-24,LA GUAJIRA,0.0
2005-04-24,MAGDALENA,0.0
2005-04-25,ANTIOQUIA,13.549999999999999
2005-04-25,LA GUAJIRA,0.0
2005-04-25,MAGDALENA,0.8999999999999999
2005-04-26,ANTIOQUIA,7.8500000000000005
2005-04-26,LA GUAJIRA,0.0
2005-04-26,MAGDALENA,0.30000000000000004
2005-04-27,ANTIOQUIA,6.449999999999999
2005-04-27,LA GUAJIRA,0.0
2005-04-27,MAGDALENA,0.0
2005-04-28,ANTIOQUIA,67.60000000000001
2005-04-28,LA GUAJIRA,0.0
2005-04-28,MAGDALENA,0.0
2005-04-29,ANTIOQUIA,1.7000000000000006
2005-04-29,LA GUAJIRA,0.0
2005-04-29,MAGDALENA,0.0
2005-04-30,ANTIOQUIA,0.0
2005-04-30,LA GUAJIRA,0.0
2005-04-30,MAGDALENA,0.0
2005-05-01,ANTIOQUIA,1.850000000000001
2005-05-01,LA GUAJIRA,0.0
2005-05-01,MAGDALENA,0.0
2005-05-02,ANTIOQUIA,0.25
2005-05-02,LA GUAJIRA,0.0
2005-05-02,MAGDALENA,0.0
2005-05-03,ANTIOQUIA,3.1499999999999995
2005-05-03,LA GUAJIRA,0.0
2005-05-03,MAGDALENA,3.3000000000000003
2005-05-04,ANTIOQUIA,0.0
2005-05-04,LA GUAJIRA,0.0
2005-05-04,MAGDALENA,6.3
2005-05-05,ANTIOQUIA,1.8500000000000005
2005-05-05,LA GUAJIRA,0.0
2005-05-05,MAGDALENA,1.4000000000000001
2005-05-06,ANTIOQUIA,0.0
2005-05-06,LA GUAJIRA,0.8
2005-05-06,MAGDALENA,0.30000000000000004
2005-05-07,ANTIOQUIA,0.6
2005-05-07,LA GUAJIRA,0.0
2005-05-07,MAGDALENA,1.5000000000000002
2005-05-08,ANTIOQUIA,0.0
2005-05-08,LA GUAJIRA,0.0
2005-05-08,MAGDALENA,0.0
2005-05-09,ANTIOQUIA,1.7
2005-05-09,LA GUAJIRA,0.0
2005-05-09,MAGDALENA,2.4
2005-05-10,ANTIOQUIA,4.499999999999999
2005-05-10,LA GUAJIRA,0.0
2005-05-10,MAGDALENA,0.1
2005-05-11,ANTIOQUIA,0.7000000000000002
2005-05-11,LA GUAJIRA,0.0
2005-05-11,MAGDALENA,0.0
2005-05-12,ANTIOQUIA,3.749999999999999
2005-05-12,LA GUAJIRA,0.0
2005-05-12,MAGDALENA,1.8000000000000003
2005-05-13,ANTIOQUIA,0.05
2005-05-13,LA GUAJIRA,0.0
2005-05-13,MAGDALENA,12.700000000000001
2005-05-14,ANTIOQUIA,0.0
2005-05-14,LA GUAJIRA,1.8000000000000003
2005-05-14,MAGDALENA,0.5
2005-05-15,ANTIOQUIA,1.4500000000000002
2005-05-15,LA GUAJIRA,50.70000000000003
2005-05-15,MAGDALENA,11.099999999999998
2005-05-16,ANTIOQUIA,0.25
2005-05-16,LA GUAJIRA,0.1
2005-05-16,MAGDALENA,43.800000000000004
2005-05-17,ANTIOQUIA,2.5500000000000003
2005-05-17,LA GUAJIRA,0.0
2005-05-17,MAGDALENA,0.7000000000000001
2005-05-18,ANTIOQUIA,1.7000000000000006
2005-05-18,LA GUAJIRA,0.0
2005-05-18,MAGDALENA,17.8
2005-05-19,ANTIOQUIA,1.5500000000000003
2005-05-19,LA GUAJIRA,1.0
2005-05-19,MAGDALENA,25.500000000000007
2005-05-20,ANTIOQUIA,1.1
2005-05-20,LA GUAJIRA,0.0
2005-05-20,MAGDALENA,23.8
2005-05-21,ANTIOQUIA,2.750000000000001
2005-05-21,LA GUAJIRA,35.9
2005-05-21,MAGDALENA,0.5
2005-05-22,ANTIOQUIA,0.0
2005-05-22,LA GUAJIRA,0.0
2005-05-22,MAGDALENA,0.0
2005-05-23,ANTIOQUIA,1.9499999999999997
2005-05-23,LA GUAJIRA,0.1
2005-05-23,MAGDALENA,11.700000000000001
2005-05-24,ANTIOQUIA,0.0
2005-05-24,LA GUAJIRA,0.0
2005-05-24,MAGDALENA,14.5
2005-05-25,ANTIOQUIA,0.49999999999999994
2005-05-25,LA GUAJIRA,0.0
2005-05-25,MAGDALENA,1.0
2005-05-26,ANTIOQUIA,1.2000000000000002
2005-05-26,LA GUAJIRA,0.0
2005-05-26,MAGDALENA,1.7
2005-05-27,ANTIOQUIA,0.4
2005-05-27,LA GUAJIRA,0.0
2005-05-27,MAGDALENA,5.699999999999999
2005-05-28,ANTIOQUIA,13.3
2005-05-28,LA GUAJIRA,0.0
2005-05-28,MAGDALENA,0.0
2005-05-29,ANTIOQUIA,0.0
2005-05-29,LA GUAJIRA,0.0
2005-05-29,MAGDALENA,16.4
2005-05-30,ANTIOQUIA,0.0
2005-05-30,LA GUAJIRA,0.0
2005-05-30,MAGDALENA,0.0
2005-05-31,ANTIOQUIA,3.1
2005-05-31,LA GUAJIRA,0.0
2005-05-31,MAGDALENA,15.899999999999997
2005-06-01,ANTIOQUIA,2.55
2005-06-01,LA GUAJIRA,0.0
2005-06-01,MAGDALENA,13.600000000000001
2005-06-02,ANTIOQUIA,10.149999999999999
2005-06-02,LA GUAJIRA,0.0
2005-06-02,MAGDALENA,91.60000000000001
2005-06-03,ANTIOQUIA,6.3
2005-06-03,LA GUAJIRA,0.0
2005-06-03,MAGDALENA,0.0
2005-06-04,ANTIOQUIA,2.7
2005-06-04,LA GUAJIRA,0.0
2005-06-04,MAGDALENA,0.2
2005-06-05,ANTIOQUIA,0.0
2005-06-05,LA GUAJIRA,0.0
2005-06-05,MAGDALENA,51.3
2005-06-06,ANTIOQUIA,0.0
2005-06-06,LA GUAJIRA,9.200000000000001
2005-06-06,MAGDALENA,1.9000000000000004
2005-06-07,ANTIOQUIA,0.0
2005-06-07,LA GUAJIRA,1.4000000000000001
2005-06-07,MAGDALENA,35.800000000000004
2005-06-08,ANTIOQUIA,22.1
2005-06-08,LA GUAJIRA,0.4
2005-06-08,MAGDALENA,0.0
2005-06-09,ANTIOQUIA,0.25
2005-06-09,LA GUAJIRA,0.0
2005-06-09,MAGDALENA,2.0000000000000004
2005-06-10,ANTIOQUIA,0.0
2005-06-10,LA GUAJIRA,0.0
2005-06-10,MAGDALENA,1.9999999999999998
2005-06-11,ANTIOQUIA,0.0
2005-06-11,LA GUAJIRA,1.2999999999999998
2005-06-11,MAGDALENA,5.8999999999999995
2005-06-12,ANTIOQUIA,0.0
2005-06-12,LA GUAJIRA,0.1
2005-06-12,MAGDALENA,0.30000000000000004
2005-06-13,ANTIOQUIA,0.0
2005-06-13,LA GUAJIRA,0.1
2005-06-13,MAGDALENA,24.300000000000008
2005-06-14,ANTIOQUIA,0.0
2005-06-14,LA GUAJIRA,0.0
2005-06-14,MAGDALENA,8.399999999999999
2005-06-15,ANTIOQUIA,22.6
2005-06-15,LA GUAJIRA,0.0
2005-06-15,MAGDALENA,0.6
2005-06-16,ANTIOQUIA,0.1
2005-06-16,LA GUAJIRA,0.0
2005-06-16,MAGDALENA,0.2
2005-06-17,ANTIOQUIA,43.50000000000001
2005-06-17,LA GUAJIRA,0.0
2005-06-17,MAGDALENA,0.0
2005-06-18,ANTIOQUIA,0.1
2005-06-18,LA GUAJIRA,0.0
2005-06-18,MAGDALENA,2.2
2005-06-19,ANTIOQUIA,42.85000000000001
2005-06-19,LA GUAJIRA,0.0
2005-06-19,MAGDALENA,0.2
2005-06-20,ANTIOQUIA,4.549999999999999
2005-06-20,LA GUAJIRA,0.0
2005-06-20,MAGDALENA,0.1
2005-06-21,ANTIOQUIA,3.3499999999999988
2005-06-21,LA GUAJIRA,0.0
2005-06-21,MAGDALENA,3.400000000000001
2005-06-22,ANTIOQUIA,0.0
2005-06-22,LA GUAJIRA,0.0
2005-06-22,MAGDALENA,9.799999999999997
2005-06-23,ANTIOQUIA,1.7000000000000002
2005-06-23,LA GUAJIRA,0.0
2005-06-23,MAGDALENA,0.0
2005-06-24,ANTIOQUIA,2.85
2005-06-24,LA GUAJIRA,0.0
2005-06-24,MAGDALENA,32.2
2005-06-25,ANTIOQUIA,1.7500000000000007
2005-06-25,LA GUAJIRA,0.0
2005-06-25,MAGDALENA,10.600000000000001
2005-06-26,ANTIOQUIA,2.8999999999999986
2005-06-26,LA GUAJIRA,0.0
2005-06-26,MAGDALENA,0.0
2005-06-27,ANTIOQUIA,6.599999999999999
2005-06-27,LA GUAJIRA,0.0
2005-06-27,MAGDALENA,0.0
2005-06-28,ANTIOQUIA,28.950000000000003
2005-06-28,LA GUAJIRA,0.0
2005-06-28,MAGDALENA,0.5
2005-06-29,ANTIOQUIA,0.0
2005-06-29,LA GUAJIRA,0.0
2005-06-29,MAGDALENA,34.2
2005-06-30,ANTIOQUIA,1.8000000000000005
2005-06-30,LA GUAJIRA,0.0
2005-06-30,MAGDALENA,0.1
2005-07-01,ANTIOQUIA,3.4499999999999993
2005-07-01,LA GUAJIRA,0.0
2005-07-01,MAGDALENA,0.0
2005-07-02,ANTIOQUIA,0.0
2005-07-02,LA GUAJIRA,0.0
2005-07-02,MAGDALENA,0.0
2005-07-03,ANTIOQUIA,4.1
2005-07-03,LA GUAJIRA,0.0
2005-07-03,MAGDALENA,0.0
2005-07-04,ANTIOQUIA,20.15
2005-07-04,LA GUAJIRA,0.0
2005-07-04,MAGDALENA,0.0
2005-07-05,ANTIOQUIA,0.39999999999999997
2005-07-05,LA GUAJIRA,0.0
2005-07-05,MAGDALENA,0.0
2005-07-06,ANTIOQUIA,0.0
2005-07-06,LA GUAJIRA,0.0
2005-07-06,MAGDALENA,6.699999999999999
2005-07-07,ANTIOQUIA,8.599999999999998
2005-07-07,LA GUAJIRA,0.0
2005-07-07,MAGDALENA,0.4
2005-07-08,ANTIOQUIA,0.0
2005-07-08,LA GUAJIRA,0.0
2005-07-08,MAGDALENA,0.0
2005-07-09,ANTIOQUIA,0.0
2005-07-09,LA GUAJIRA,0.0
2005-07-09,MAGDALENA,0.0
2005-07-10,ANTIOQUIA,0.0
2005-07-10,LA GUAJIRA,0.0
2005-07-10,MAGDALENA,0.0
2005-07-11,ANTIOQUIA,0.0
2005-07-11,LA GUAJIRA,0.0
2005-07-11,MAGDALENA,23.799999999999997
2005-07-12,ANTIOQUIA,0.0
2005-07-12,LA GUAJIRA,0.0
2005-07-12,MAGDALENA,33.5
2005-07-13,ANTIOQUIA,0.0
2005-07-13,LA GUAJIRA,0.0
2005-07-13,MAGDALENA,1.7
2005-07-14,ANTIOQUIA,0.0
2005-07-14,LA GUAJIRA,0.0
2005-07-14,MAGDALENA,1.5000000000000002
2005-07-15,ANTIOQUIA,0.0
2005-07-15,LA GUAJIRA,0.0
2005-07-15,MAGDALENA,3.9
2005-07-16,ANTIOQUIA,0.1
